ADDER,ADDER,Truffade
AIRBUS,AIRBUS,nil
AIRTUG,AIRTUG,nil
AKUMA,AKUMA,Dinka
ALPHA,ALPHA,Albany
AMBULANCE,AMBULAN,nil
ANNIHILATOR,ANNIHL,nil
ARMYTANKER,ARMYTRAILER,nil
ARMYTRAILER,ARMYTRAILER,nil
ARMYTRAILER2,ARMYTRAILER,nil
ASEA,ASEA,Declasse
ASEA2,ASEA,Declasse
ASTEROPE,ASTROPE,Karin
BAGGER,BAGGER,Western
BALETRAILER,BALETRAILER,nil
BALLER,BALLER,Gallivanter
BALLER2,BALLER2,Gallivanter
BALLER3,BALLER3,Gallivanter
BALLER4,BALLER4,Gallivanter
BALLER5,BALLER5,Gallivanter
BALLER6,BALLER6,Gallivanter
BANSHEE,BANSHEE,Bravado
BANSHEE2,BANSHEE2,Bravado
BARRACKS,BARRACKS,nil
BARRACKS2,BARRACKS2,HVY
BARRACKS3,BARRACKS,nil
BATI,BATI,Pegassi
BATI2,BATI2,Pegassi
BENSON,BENSON,Vapid
BESRA,BESRA,Western
BFINJECTION,BFINJECT,BF
BIFF,BIFF,HVY
BIFTA,BIFTA,BF
BISON,BISON,Bravado
BISON2,BISON,Bravado
BISON3,BISON,Bravado
BJXL,BJXL,Karin
BLADE,BLADE,Vapid
BLAZER,BLAZER,Nagasaki
BLAZER2,BLAZER2,Nagasaki
BLAZER3,BLAZER03,Nagasaki
BLIMP,BLIMP,nil
BLIMP2,BLIMP2,nil
BLISTA,BLISTA,Dinka
BLISTA2,BLISTA2,Dinka
BLISTA3,BLISTA3,Dinka
BMX,BMX,nil
BOATTRAILER,BOATTRAILER,nil
BOBCATXL,BOBCATXL,Vapid
BODHI2,BODHI2,Canis
BOXVILLE,BOXVILLE,nil
BOXVILLE2,BOXVILLE,nil
BOXVILLE3,BOXVILLE,Brute
BOXVILLE4,BOXVILLE,Brute
BRAWLER,BRAWLER,Coil
BTYPE,ROOSEVELT,Albany
BTYPE2,BTYPE2,Albany
BTYPE3,ROOSEVELT2,Albany
BUCCANEER,BUCCANEE,Albany
BUCCANEER2,BUCCANEE2,Albany
